,Cover_1,Cover_2,Cover_3,Cover_4,Cover_5,Cover_6,Cover_7,Cover_8,Cover_9,Cover_10,Cover_11,Cover_12
Intervals,5.0,5.0,5.0,10.0,10.0,10.0,15.0,15.0,20.0,20.0,25.0,25.0
Overlap,0.4,0.6,0.8,0.4,0.6,0.8,0.6,0.8,0.4,0.6,0.4,0.8
